"At a time you can checkout only one seller's products. Remaining other products will be saved into your cart.","At a time you can checkout only one seller's products. Remaining other products will be saved into your cart."
"Something Went Wrong !!!","Something Went Wrong !!!"
"Marketplace Split Cart Settings","Marketplace Split Cart Settings"
"Enable Split Cart","Enable Split Cart"
"Shopping Cart Items","Shopping Cart Items"
"Item","Item"
"Price","Price"
"Qty","Qty"
"Subtotal","Subtotal"
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
