"Sign In","Ingresar"
"Enter your mail","Introduce tu email"
"Subscribe","Suscribirme"
"You should accept the privacy policy","Debe aceptar la Política de Privacidad"
"I have read and accept the <a class=""alink"" href=""%1"">General Purchase Conditions</a>, the <a class=""alink"" href=""%2"">Privacy Policy</a>, and the <a class=""alink"" href=""%3"">Legal Notice</a>.","He leído y acepto las <a class=""alink"" href=""%1"">Condiciones Generales de Compra</a>, la <a class=""alink"" href=""%2"">Política de Privacidad</a>, y el <a class=""alink"" href=""%3"">Aviso Legal</a>."
"This email address is already subscribed.","Esta dirección de correo ya está suscrita"
"Thank you for your subscription","Gracias por su suscripción"
"Please enter a valid email address (Ex: johndoe@domain.com).","Por favor ingrese un email válido (Ej: juan@dominio.com)"
"Add New Address","Adicionar nueva dirección"
"Newsletter Subscriptions","Suscripción al boletín informativo"
"You have placed no orders.","¡Aún no tienes pedidos! Cuando realices tu primera compra, aparecerá aquí."
"Go shopping","Ir a comprar"
"Identification Number","Número de Identificación"
"Telephone/Phone","Teléfono/Celular"
